task_id,domain,modality,algorithm,arm,episode,success,goal_reached,runtime_reported_invariants_hold,all_operations_valid,invalid_operations,decisions,expansions,termination,decision_cap,expansion_cap,decision_budget_fraction,expansion_budget_fraction,solution_unit_action_cost,common_cap,model_input_tokens,model_output_tokens,call_wall_seconds,episode_wall_seconds
matched-final/storage-760000,storage,text-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,16,5,0.0625,0.0,,12,2386,188,13.008085802197456,14.363357339054346
matched-final/storage-760000,storage,text-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-process_sft.json.gz,False,False,False,False,1,2,0,deterministic_invalid_operation,16,5,0.125,0.0,,12,4772,432,33.72181487083435,34.96583435870707
matched-final/storage-760000,storage,text-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-random_valid.json.gz,True,True,True,True,0,8,5,goal_reached,16,5,0.5,1.0,4,12,0,0,0.00026852265000343323,0.035920506343245506
matched-final/storage-760000,storage,text-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-exact_reference.json.gz,True,True,True,True,0,8,5,goal_reached,16,5,0.5,1.0,4,12,0,0,0.00020319782197475433,0.0349406972527504
matched-final/storage-760000,storage,text-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,12,5,0.08333333333333333,0.0,,12,1825,127,8.236693056300282,8.243306314572692
matched-final/storage-760000,storage,text-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,12,5,0.08333333333333333,0.0,,12,1825,384,24.81539594568312,24.82171239890158
matched-final/storage-760000,storage,text-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-random_valid.json.gz,True,True,True,True,0,6,5,goal_reached,12,5,0.5,1.0,4,12,0,0,0.00019085034728050232,0.04096033237874508
matched-final/storage-760000,storage,text-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-exact_reference.json.gz,True,True,True,True,0,6,5,goal_reached,12,5,0.5,1.0,4,12,0,0,0.00013870932161808014,0.03865139186382294
matched-final/storage-760000,storage,text-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,20,4,0.05,0.0,,12,1609,39,3.6102739088237286,3.614910813048482
matched-final/storage-760000,storage,text-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-process_sft.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,17343,363,39.602976413443685,39.65033779665828
matched-final/storage-760000,storage,text-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.0002582985907793045,0.03553319722414017
matched-final/storage-760000,storage,text-state,best_first_add_w3,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-exact_reference.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.00019969232380390167,0.034536464139819145
matched-final/storage-760000,storage,text-state,best_first_add_greedy,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,20,4,0.05,0.0,,12,1607,48,4.071737550199032,4.075898379087448
matched-final/storage-760000,storage,text-state,best_first_add_greedy,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-process_sft.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,17315,363,39.82770967669785,39.87342084757984
matched-final/storage-760000,storage,text-state,best_first_add_greedy,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-random_valid.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.0002468973398208618,0.03595525026321411
matched-final/storage-760000,storage,text-state,best_first_add_greedy,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-exact_reference.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.0002030208706855774,0.035025324672460556
matched-final/blocksworld-730060,blocksworld,text-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,10,3,0.1,0.0,,6,1002,99,5.3368739522993565,5.340013470500708
matched-final/blocksworld-730060,blocksworld,text-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz,False,False,False,False,1,3,1,deterministic_invalid_operation,10,3,0.3,0.3333333333333333,,6,3581,324,19.831544695422053,19.84194760210812
matched-final/blocksworld-730060,blocksworld,text-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-random_valid.json.gz,False,False,True,True,0,5,3,expansion_budget_exhausted,10,3,0.5,1.0,,6,0,0,0.00013624690473079681,0.015548722818493843
matched-final/blocksworld-730060,blocksworld,text-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-exact_reference.json.gz,True,True,True,True,0,5,3,goal_reached,10,3,0.5,1.0,2,6,0,0,0.00012044049799442291,0.015310205519199371
matched-final/blocksworld-730060,blocksworld,text-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,6,2,0.16666666666666666,0.0,,6,863,195,9.248822866007686,9.25606531649828
matched-final/blocksworld-730060,blocksworld,text-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,6,2,0.16666666666666666,0.0,,6,863,54,3.6137930918484926,3.6198051311075687
matched-final/blocksworld-730060,blocksworld,text-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-random_valid.json.gz,False,False,True,True,0,4,2,expansion_budget_exhausted,6,2,0.6666666666666666,1.0,,6,0,0,0.00011816248297691345,0.019393907859921455
