episode,modality,algorithm,arm,index,reason,category
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-pretrained_base.json.gz,text-state,bfs,pretrained_base,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-process_sft.json.gz,text-state,bfs,process_sft,1,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz,text-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-process_sft.json.gz,text-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1589 (char 1588),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz,text-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz,text-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz,text-state,bfs,pretrained_base,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz,text-state,bfs,process_sft,2,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz,text-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz,text-state,best_first_width,process_sft,0,"invalid fields in operation: missing=['frontier_intent', 'source_state_id', 'visit_target'], unknown=['frontier_state_id', 'retire_source_state']",schema_or_shape
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz,text-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz,text-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz,text-state,bfs,pretrained_base,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-process_sft.json.gz,text-state,bfs,process_sft,1,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz,text-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz,text-state,best_first_width,process_sft,0,"invalid fields in operation: missing=['evaluate_target', 'frontier_intent', 'visit_target'], unknown=['enqueue', 'exact_bfws_goal_count_priority_successor', 'frontier_state_id']",schema_or_shape
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz,text-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz,text-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-process_sft.json.gz,text-state,best_first_add_greedy,process_sft,0,operation action is not an exact successor candidate,candidate_membership_or_duplicate
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-pretrained_base.json.gz,visual-state,bfs,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-process_sft.json.gz,visual-state,bfs,process_sft,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz,visual-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-process_sft.json.gz,visual-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1765 (char 1764),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz,visual-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz,visual-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz,visual-state,bfs,pretrained_base,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz,visual-state,bfs,process_sft,2,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz,visual-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz,visual-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1594 (char 1593),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz,visual-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-process_sft.json.gz,visual-state,best_first_add_w3,process_sft,1,successor candidate was already submitted,candidate_membership_or_duplicate
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz,visual-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz,visual-state,bfs,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz,visual-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz,visual-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1637 (char 1636),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz,visual-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz,visual-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/bfs-pretrained_base.json.gz,multimodal-state,bfs,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/bfs-process_sft.json.gz,multimodal-state,bfs,process_sft,1,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz,multimodal-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/best_first_width-process_sft.json.gz,multimodal-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1511 (char 1510),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz,multimodal-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz,multimodal-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz,multimodal-state,bfs,pretrained_base,0,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz,multimodal-state,bfs,process_sft,2,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz,multimodal-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz,multimodal-state,best_first_width,process_sft,0,Unterminated string starting at: line 1 column 1561 (char 1560),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz,multimodal-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz,multimodal-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz,multimodal-state,bfs,pretrained_base,0,"model output must contain exactly canonical_rationale, runtime_result, and typed_operation",schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-process_sft.json.gz,multimodal-state,bfs,process_sft,1,BFS operation rejected; detailed validity rule not retained,search_rule_or_unresolved
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz,multimodal-state,best_first_width,pretrained_base,0,operation must be an object,schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz,multimodal-state,best_first_width,process_sft,0,"invalid fields in operation: missing=['evaluate_target', 'frontier_intent', 'visit_target'], unknown=['exact_bfws_goal_count_priority_successor', 'retire_source_state']",schema_or_shape
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz,multimodal-state,best_first_add_w3,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz,multimodal-state,best_first_add_greedy,pretrained_base,0,Expecting value: line 1 column 1 (char 0),json_syntax
